"","subslice","group","sex","-30","-35","-40","-45","-50","-55","-60","-65","-70","-75"
"28","c0850B","Control","Female",-9.61303715,-11.596679725,-8.69750977499999,-7.17163082750001,-9.1552734525,-5.7983398475,-4.11987304750001,0.305175785000003,6.713867188,3.204345706125
"29","c0850C","Control","Female",7.17163085000004,8.85009764999998,7.93457032000001,6.10351562500001,1.22070312,-3.204345705,-2.593994145,-7.0190429655,-9.3078613295,-8.8500976575
"30","c0851A","Stressed","Female",20.44677735,25.3295898,35.09521482,28.076171895,18.0053710975,21.6674804625,12.9699707005,9.002685547,8.54492187375,6.8664550775
"31","c0851B","Stressed","Female",0.610351550000019,-3.35693355000001,0.610351534999978,1.06811524,-6.4086914025,-2.7465820275,3.6621093745,1.37329101625,1.373291016,3.66210937525
"32","c0852A","Stressed","Male",14.49584961,18.6157226625,9.00268555,2.89916992,-3.3569335975,-5.493164063,-8.08715820025,-11.5966796875,-9.155273435875,-8.392333985
"33","c0852B","Stressed","Male",4.730224615,7.47680664000001,4.42504882750001,0.610351562499993,-2.28881836000001,0.76293945175,-1.220703126875,-4.8828124995,-5.3405761725,-4.73022461
"34","c0856A","Stressed","Female",29.4494628750001,26.092529325,26.550292925,28.686523425,18.463134825,10.0708007775,12.3596191425,8.69750977125,10.986328125,14.801025393
"35","c0856B","Stressed","Female",42.266845675,37.994384775,29.144287145,23.4985351425,15.2587890675,15.106201175,5.340576173125,7.62939453375,-5.950927734875,-10.37597656
"36","c0856C","Stressed","Female",-13.732910125,4.57763672499999,-13.885498025,3.96728512499999,3.81469730000001,-8.392333995,-5.34057617,-11.444091798,-4.88281249999999,-5.035400395
"37","c0860A","Stressed","Male",21.209716815,24.1088867175,7.62939453000001,14.80102539,6.7138671875,2.89916991975,-7.32421875,-12.9699707045,-11.444091798125,-17.2424316395
"38","c0861A","Control","Male",14.03808595,27.3132324675,35.2478027125,26.855468765,13.4277343775,7.01904297,-9.765625001125,-13.580322267,-19.68383789175,-23.803710934
"39","c0861B","Control","Male",10.83374023,5.3405761675,4.57763671750001,4.8828125,1.373291015,7.629394532,-0.305175780625,1.37329101575,1.6784667975,-2.44140624925
"40","c0864B","Stressed","Female",15.1062011725,28.9916992275,22.8881835975,14.95361328,18.157958985,12.20703125,7.93457031250001,6.408691410625,5.493164065,5.9509277335
"41","c0871A","Stressed","Male",14.953613255,13.427734395,25.177001955,10.8337402325,2.44140625,-2.5939941405,-8.69750976425,-7.78198242000001,-9.76562500275,-17.700195317
"42","c0871B","Stressed","Male",5.18798828,-4.1198730425,-18.005371095,-13.4277343725,-13.1225585925,-6.2561035125,-10.83374023875,-10.3759765655,-6.40869140675,-13.122558596
"43","c0874A","Control","Male",25.329589875,44.555664025,39.367675775,40.588378905,32.0434570175,22.43041992,16.17431640625,5.3405761705,2.28881836000001,7.93457031050002
"44","c0879A","Control","Male",1.678466775,4.57763672499999,2.28881832499997,13.88549805,7.47680664999999,19.378662125,19.53125,12.3596191425,8.544921876,-5.64575194999999
"45","c0879B","Control","Male",8.087158215,3.3569335975,5.79833984,5.950927731,5.950927735625,7.47680664675,5.03540039,-0.152587887500005,-3.0517578125,2.4414062525
"46","c0879C","Control","Male",18.463134725,-3.35693355000001,10.223388675,10.52856445,11.5966797,4.42504884749999,14.64843749,11.5966796875,2.89916992225,-0.305175782500008
"47","c0880A","Control","Male",65.46020505,59.509277325,66.833496075,52.3376464725,36.6210937375,10.5285644675,1.98364257749999,2.5939941375,-3.05175781,-7.934570313
"48","c0882A","Stressed","Male",26.092529325,27.7709960925,21.667480465,16.4794922075,15.563964855,12.9699706925,2.44140625500002,-2.746582035,-5.49316406000001,-6.86645507749999
"49","c0882B","Stressed","Male",26.245117175,29.4494629249999,22.430419925,16.174316325,10.68115235,1.37329102500001,4.57763673499998,-3.356933595,-2.8991699175,-7.629394528
"50","c0882C","Stressed","Male",33.721923775,37.536621075,30.975341805,18.310546865,12.512207025,2.5939941425,-0.152587892499998,-9.0026855485,-13.88549805,-9.0026855505
"51","c0884A","Stressed","Female",13.885498025,21.36230465,20.904541,25.787353575,16.4794921925,14.3432617125,10.2233886725,6.10351562675,4.119873045,-6.8664550725
"52","c0884B","Stressed","Female",35.095214825,52.4902343875,44.55566406,32.0434570325,25.1770019525,12.664794925,4.27246093725,1.67846679525,-0.152587890250004,-4.27246093875
"53","c0884C","Stressed","Female",29.296875025,25.17700195,24.7192382825,18.157958985,13.1225585925,7.476806640875,6.103515627125,-0.15258789,-5.34057617,-1.98364257999999
"54","c0885A","Control","Female",8.850097655,17.39501952,15.8691406225,21.82006836,19.8364257775,14.34326171675,12.3596191375,9.0026855465,4.730224605,-2.59399414249999
"55","c0885B","Control","Female",18.157959,22.43042,10.833740225,3.20434572499998,4.27246095000002,5.18798827500001,-7.01904296749998,-10.22338867,-9.460449225,-2.136230469
"56","c0885C","Control","Female",18.463134785,23.9562988275,25.177001955,15.7165527375,17.5476074275,13.58032226825,8.8500976565,7.476806638875,5.645751955375,2.2888183625
"57","c0889A","Stressed","Male",10.681152325,27.618408225,30.36499025,44.708251975,18.6157227,38.7573242,20.59936525,16.6320800975,4.27246092,-2.28881836250001
"58","c0889B","Stressed","Male",0.152587900000029,5.34057617000002,3.96728515249998,1.98364257749999,2.59399414749999,2.7465820295,0.762939451874999,4.119873047,-3.3569335925,0.305175784999996
"59","c0890A","Control","Male",0.762939449999919,13.7329101750001,8.85009769999996,10.223388675,10.37597655,5.79833980000001,3.50952144999998,1.67846679000002,3.05175781500001,-3.204345705
"60","c0890B","Control","Male",19.9890136775,17.395019525,18.1579589775,5.493164065,1.6784667975,-3.3569335975,-3.662109375,-0.91552734175,2.13623046875001,0.152587887499998
"61","c0896A","Control","Female",32.653808575,17.547607425,58.28857423,25.6347656225,22.5830078025,3.5095214775,3.2043457025,-21.05712890875,-16.326904298125,-28.83911132825
"62","c0896B","Control","Female",32.19604485,46.691894525,53.405761725,35.7055664225,50.048828125,29.754638671,29.14428711125,25.7873535125,5.64575194999999,-3.50952148
"63","c0896C","Control","Female",25.6347656,30.2124023,30.67016602,16.32690429,16.93725586,10.07080078,16.0217285125,0.152587890125,-5.49316406225,-4.27246093675
